Time,Ground Truth,Estimation
0,299,321
1,300,391
2,300,304
3,300,308
4,300,333
5,300,308
6,300,307
7,300,314
8,300,314
9,300,314
10,300,320
11,300,384
12,300,269
13,300,372
14,300,327
15,299,320
16,300,442
17,300,320
18,300,320
19,300,346
20,300,397
21,300,340
22,300,384
23,300,327
24,300,308
25,300,397
26,300,327
27,300,397
28,300,346
29,300,359
30,300,340
31,300,314
32,300,288
33,300,378
34,300,346
35,300,333
36,300,298
37,300,365
38,300,308
39,300,308
40,298,359
41,300,436
42,300,352
43,300,295
44,300,314
45,300,346
46,300,320
47,300,308
48,300,308
49,300,320